lemon_juice_ml,sugar_g,fizziness,rating
66.84,13.3,8.79,9.51
26.88,36.45,7.51,8.47
37.05,9.31,5.86,6.76
25.67,47.03,7.44,9.74
66.23,39.58,3.66,9.27
63.87,21.05,1.4,6.31
32.9,33.29,3.38,7.26
53.0,37.37,8.6,10.0
60.86,31.75,8.96,10.0
47.76,32.82,2.01,7.29
46.48,46.22,0.88,7.29
32.09,44.65,0.98,7.73
24.66,46.12,5.46,8.51
64.86,44.83,2.67,8.03
65.02,35.84,4.28,9.01
51.66,27.13,5.45,8.21
36.95,26.93,0.57,4.99
37.46,39.72,7.89,9.56
56.3,46.58,1.79,7.8
64.86,8.96,4.51,7.9
64.35,44.46,8.71,10.0
58.99,43.24,8.22,10.0
52.1,8.94,8.89,9.15
24.21,34.54,7.12,8.51
28.08,48.74,2.35,7.41
64.93,43.32,3.97,9.43
50.32,7.83,1.01,5.72
20.46,46.63,3.73,7.38
25.07,12.79,0.05,3.87
53.18,8.26,5.43,7.18
20.25,15.25,0.52,4.1
28.04,26.75,1.1,5.19
47.44,41.69,5.82,9.43
54.59,17.02,0.66,5.43
52.6,22.56,6.9,8.78
31.21,11.35,6.74,7.12
55.61,18.12,9.15,9.23
31.86,45.59,4.69,8.81
36.27,35.64,9.93,10.0
57.32,35.33,9.22,10.0
52.48,16.24,4.32,6.41
62.46,11.58,3.16,6.4
52.88,44.93,4.89,8.69
48.42,47.46,4.72,8.82
24.68,7.41,1.6,4.79
38.39,28.86,8.02,9.21
33.26,24.79,0.97,5.29
32.2,38.23,1.16,6.05
68.65,18.58,5.78,8.81
39.65,32.93,2.3,6.9
64.6,8.72,8.85,9.68
51.56,42.03,9.98,10.0
59.74,15.74,1.55,6.3
45.13,19.13,9.39,9.49
48.85,22.02,7.88,9.54
44.63,14.3,3.79,6.2
29.76,41.4,5.33,8.41
56.12,8.09,3.92,6.84
34.04,47.01,5.14,8.15
21.22,46.88,5.15,8.09
52.27,42.23,7.59,10.0
28.86,47.85,6.63,9.01
67.02,39.25,0.78,7.19
67.7,30.32,2.98,8.56
65.74,37.47,0.84,6.96
38.51,5.18,4.27,6.12
20.77,35.84,4.83,6.77
66.42,6.89,3.56,6.32
41.41,44.94,1.79,6.84
68.33,45.34,3.69,10.0
68.18,10.14,6.9,8.79
62.65,35.58,1.22,6.82
34.72,35.07,5.25,8.1
39.25,27.41,6.98,8.6
62.56,6.13,2.06,5.84
35.85,10.13,9.21,8.59
28.47,34.67,1.36,5.56
47.84,28.83,1.58,7.7
66.81,7.08,1.25,6.07
54.8,28.29,7.99,9.53
48.5,43.22,0.96,7.53
24.86,45.07,5.06,8.39
50.75,36.36,8.88,10.0
69.5,34.82,5.69,10.0
27.0,39.61,3.63,7.44
45.92,11.0,4.54,6.44
63.87,13.56,0.26,5.6
57.04,26.86,5.01,8.7
54.85,25.3,9.01,9.94
55.12,13.3,8.74,9.41
37.97,35.52,0.7,5.21
34.68,38.35,4.91,7.43
60.47,17.19,0.99,6.07
60.51,19.08,5.87,8.86
63.35,16.58,4.56,7.68
65.66,17.54,6.75,9.5
45.57,21.41,5.06,8.67
45.08,24.85,4.39,7.36
59.91,26.79,3.55,7.6
52.5,26.82,0.66,4.85
55.1,32.78,6.89,9.9
59.79,20.48,1.75,6.36
64.5,27.65,8.18,10.0
36.9,27.77,3.23,6.99
38.78,9.35,6.83,7.45
24.7,33.32,9.8,9.91
48.91,17.52,4.51,7.39
21.8,7.11,7.71,7.52
43.28,34.12,7.92,9.93
47.13,7.18,0.34,4.53
34.33,24.88,5.38,7.27
49.54,32.95,3.24,7.38
21.53,49.94,4.47,7.67
21.87,28.18,3.0,4.83
61.13,19.32,5.41,8.27
38.01,27.14,9.02,9.55
26.35,13.81,0.51,4.42
46.11,24.71,2.15,5.81
58.5,44.29,8.93,10.0
30.79,11.13,0.73,4.6
51.14,28.86,3.69,7.34
24.27,32.94,2.51,6.79
22.58,19.09,1.75,5.33
46.57,38.12,2.73,8.18
47.03,34.87,5.81,9.1
51.87,25.88,9.68,10.0
56.3,33.8,4.14,8.57
68.79,42.81,4.46,9.32
45.82,32.02,3.99,7.41
36.15,30.6,9.55,10.0
59.76,32.96,1.31,7.03
33.54,35.4,3.05,6.95
41.95,23.14,0.3,5.89
23.92,42.66,3.44,7.39
21.27,46.58,2.78,6.98
68.13,32.98,2.43,7.61
61.8,44.9,2.23,8.54
54.8,38.51,3.33,8.21
40.45,24.03,2.52,5.99
28.66,27.32,0.62,5.8
27.82,30.66,2.64,6.16
32.51,47.26,9.77,10.0
47.46,34.16,9.45,10.0
55.73,27.88,7.15,10.0
53.01,10.55,1.92,5.23
34.0,35.01,5.75,8.34
67.74,29.96,8.4,10.0
56.89,47.3,1.11,8.05
47.72,20.39,5.31,7.19
50.59,40.79,3.07,7.69
40.98,17.71,4.01,7.23
32.39,12.73,5.42,6.42
37.8,5.55,4.79,6.11
57.89,45.29,9.19,10.0
20.72,25.01,5.33,6.95
25.8,17.65,6.81,7.48
22.3,23.14,5.57,6.64
22.04,37.03,4.04,7.09
62.77,22.7,2.06,5.93
55.18,15.16,0.81,5.2
43.71,8.95,6.77,7.03
24.89,32.98,1.01,6.09
44.58,48.77,0.83,7.52
43.67,33.57,9.15,10.0
28.66,47.61,9.7,10.0
41.69,44.51,6.01,9.45
39.93,12.01,0.32,3.68
50.79,44.56,7.63,10.0
51.75,5.05,5.14,6.69
22.27,27.93,7.75,8.34
38.73,28.52,4.14,7.38
51.29,37.71,7.45,9.78
45.16,39.02,7.95,9.64
62.82,15.43,5.46,7.84
52.93,44.69,9.69,10.0
28.15,13.06,3.07,5.15
23.53,48.27,9.46,10.0
52.12,49.33,0.44,7.33
21.33,36.36,8.05,9.51
49.29,34.19,5.6,8.7
67.01,49.06,3.43,9.88
48.77,15.89,0.76,4.98
39.41,33.92,6.9,8.59
52.16,23.28,6.76,9.23
42.91,12.54,7.26,7.59
47.28,10.75,7.43,7.96
67.07,36.52,1.19,8.78
39.31,15.3,8.59,9.17
68.06,31.97,1.47,8.09
65.27,15.69,5.66,8.56
29.79,25.42,7.97,8.6
23.47,38.4,10.0,10.0
25.04,28.77,1.93,6.18
20.91,44.22,2.9,6.42
24.72,28.68,2.96,6.26
54.15,13.74,7.11,8.01
23.56,45.37,5.1,8.25
35.95,23.81,3.96,6.52
62.24,44.04,9.47,10.0
21.16,15.46,5.75,7.34
60.72,33.63,8.36,10.0
34.09,12.44,9.65,8.48
25.91,8.6,5.04,5.95
54.84,49.95,9.02,10.0
51.45,5.47,7.99,8.34
63.87,31.61,9.97,10.0
56.75,5.6,4.5,7.49
60.17,29.83,0.22,6.13
34.1,9.5,1.09,4.01
28.87,40.44,7.51,8.94
57.53,18.17,8.13,9.57
60.34,20.5,3.6,7.32
69.53,16.35,1.15,7.04
40.63,10.13,7.09,7.03
38.6,27.52,6.35,8.77
58.82,25.15,0.55,5.69
37.04,29.27,5.47,8.18
66.54,33.17,2.48,8.27
62.92,8.99,1.16,6.06
41.45,23.61,1.81,6.22
57.54,31.66,2.1,7.22
57.73,19.54,1.6,6.39
25.16,13.61,1.82,4.36
65.13,32.28,5.38,8.06
45.26,37.33,0.45,6.49
61.32,38.78,2.98,7.96
36.0,19.65,1.09,4.9
64.78,9.45,6.22,8.44
39.46,46.2,9.48,10.0
20.54,35.95,0.44,5.0
65.27,47.68,8.96,10.0
24.56,11.55,7.65,8.26
35.97,34.58,5.45,8.8
67.5,13.84,9.49,10.0
67.53,43.99,2.21,8.57
48.67,28.38,0.44,6.28
51.59,28.97,7.84,9.88
42.42,46.88,1.23,7.01
34.66,18.68,8.33,8.43
36.43,32.86,9.18,10.0
53.63,11.49,2.49,6.0
57.62,21.34,8.63,9.91
59.58,13.76,5.33,7.44
59.48,14.06,3.47,7.74
24.56,34.75,2.8,6.67
44.72,17.89,7.85,8.58
22.88,16.3,6.63,7.34
47.48,41.36,8.43,10.0
42.08,26.32,6.13,8.97
64.39,22.1,3.57,7.55
37.55,41.68,3.61,7.76
25.85,26.99,9.12,9.09
27.15,41.67,6.67,7.95
58.08,19.33,8.42,9.92
50.91,48.29,7.62,10.0
25.06,46.56,2.04,6.44
24.21,42.06,4.54,7.73
55.05,14.57,0.84,5.94
23.64,37.74,8.37,9.47
61.09,41.79,5.59,10.0
55.31,21.35,9.13,10.0
24.07,11.32,1.68,4.76
24.24,17.13,9.23,8.37
69.33,31.35,8.87,10.0
38.71,16.33,1.61,5.2
38.53,34.77,7.63,9.06
60.64,22.63,4.71,8.0
67.36,15.15,2.64,6.77
69.3,32.59,9.21,10.0
57.67,8.32,7.96,9.31
38.81,33.12,1.64,6.19
24.18,48.85,9.51,10.0
58.86,37.01,5.28,8.77
47.92,19.76,5.48,8.36
41.21,45.56,6.7,10.0
65.32,28.75,4.2,8.29
25.56,28.78,3.7,6.69
44.63,22.02,7.59,9.68
20.57,7.35,4.91,5.32
43.43,17.15,5.78,8.15
22.82,41.82,3.57,7.19
25.94,16.69,5.92,7.11
25.88,23.56,6.6,7.38
52.46,33.53,2.49,6.98
57.3,17.71,9.22,9.74
49.17,41.53,5.11,8.87
68.11,45.44,3.71,9.23
38.74,7.78,6.97,7.17
34.29,30.86,9.4,9.47
63.43,20.72,5.45,8.71
31.18,29.94,3.31,6.15
68.16,29.61,6.64,10.0
20.61,5.45,9.22,7.85
68.49,34.18,1.8,8.13
22.16,14.72,5.34,6.49
64.56,30.16,2.22,7.21
46.39,45.29,5.33,8.9
69.65,13.65,7.76,9.85
23.69,17.16,8.03,7.62
47.69,7.86,0.36,4.87
68.47,27.13,3.01,7.68
46.15,44.15,2.05,7.17
51.47,29.52,2.89,7.57
54.79,20.86,4.63,7.79
42.73,45.76,0.7,7.19
51.38,28.95,4.91,8.48
49.22,48.82,7.33,10.0
65.06,38.76,4.97,8.57
22.27,46.01,6.51,9.03
34.05,34.17,7.77,9.47
67.52,49.52,9.32,10.0
64.51,28.64,8.42,10.0
42.78,33.83,8.49,9.55
51.01,11.04,3.11,7.06
33.87,47.15,3.57,7.75
29.41,20.07,2.87,5.68
43.18,34.93,8.55,10.0
37.67,21.22,3.86,6.56
49.18,44.83,0.08,6.37
23.89,9.97,0.92,4.04
68.72,45.57,1.26,7.82
69.31,33.16,0.58,6.35
54.91,48.04,5.87,9.92
46.8,27.66,0.8,5.51
35.48,27.2,6.53,8.03
60.69,21.14,2.5,6.66
54.24,19.81,7.77,9.07
28.13,10.55,6.17,7.63
65.55,19.73,9.0,9.95
61.13,32.41,4.64,9.79
67.49,8.8,3.91,7.56
56.29,13.37,3.28,6.3
50.67,43.7,1.82,7.51
40.91,9.11,3.34,5.69
66.64,15.86,0.08,5.83
63.3,5.17,9.12,9.28
22.26,37.35,9.74,9.84
21.32,43.29,9.02,10.0
38.82,44.58,0.7,6.79
60.53,45.51,1.42,7.69
69.36,23.16,8.27,9.9
27.52,30.18,4.98,7.49
49.71,35.5,0.59,6.35
39.04,46.16,3.25,7.66
68.5,40.84,3.65,9.0
62.11,27.01,6.42,9.45
61.92,27.94,0.64,6.59
43.43,20.13,9.03,9.46
40.74,5.52,0.89,4.46
33.67,11.5,3.8,6.88
22.82,19.92,0.38,4.67
63.24,32.27,5.96,10.0
60.65,37.13,8.98,10.0
69.99,45.1,8.76,10.0
69.83,29.95,4.56,9.04
47.77,22.74,2.15,6.18
58.45,36.11,2.05,7.74
67.24,22.63,1.38,6.28
62.48,9.88,5.54,8.11
32.37,5.19,2.03,4.81
42.53,36.88,4.67,8.28
26.46,45.46,9.72,10.0
67.7,35.51,1.33,6.88
50.31,6.24,3.35,5.71
31.43,14.87,7.75,8.31
53.59,47.59,3.95,8.87
50.91,36.94,5.65,9.49
37.91,38.19,0.34,5.89
25.68,41.28,1.02,6.48
53.58,46.07,5.45,9.55
46.02,24.76,0.64,5.44
58.62,24.36,8.67,10.0
46.01,6.04,8.45,8.27
62.61,47.17,0.02,7.5
47.6,10.87,0.65,5.06
48.05,25.28,7.84,9.53
63.83,32.0,6.98,9.47
40.17,49.72,0.86,7.04
26.7,22.97,2.07,5.05
21.44,35.09,2.7,6.7
57.76,47.87,5.68,10.0
51.02,30.72,3.13,7.32
55.2,29.05,2.19,7.48
30.65,30.79,3.0,6.85
26.82,41.8,9.72,10.0
20.73,6.92,3.81,4.12
37.53,39.21,7.18,9.73
49.5,12.75,4.26,6.49
39.61,39.53,0.9,6.56
41.87,41.0,1.2,7.07
65.21,33.18,4.47,9.4
37.41,24.76,8.22,9.44
45.7,37.96,2.66,7.02
59.18,5.86,5.4,7.23
39.83,34.19,6.5,8.3
51.1,15.45,9.34,9.67
63.12,34.72,4.64,8.73
67.48,11.2,3.34,6.5
27.35,13.08,6.02,6.72
66.33,25.33,2.97,8.13
44.61,28.85,3.78,7.61
32.91,23.73,4.02,7.47
42.96,32.5,4.22,7.89
69.0,7.41,1.36,5.15
44.63,13.7,1.06,5.53
36.44,5.16,4.12,5.74
51.67,30.47,0.79,6.22
32.01,36.08,4.54,7.48
23.79,26.76,9.45,9.31
26.44,25.76,5.83,7.59
26.4,24.16,0.11,4.4
27.6,20.12,4.9,6.51
26.94,31.47,1.1,5.47
52.04,5.28,4.67,7.03
29.09,31.8,9.74,9.7
37.28,27.04,9.48,10.0
64.84,33.15,4.24,9.01
43.7,43.45,9.23,10.0
53.38,42.29,0.64,7.36
28.62,41.32,1.54,7.07
29.61,23.52,1.92,5.81
22.04,22.55,0.54,3.53
28.45,14.31,6.15,7.57
33.93,6.43,5.81,7.04
28.85,27.73,5.82,7.59
24.44,48.86,2.62,7.46
26.03,38.85,6.55,8.41
43.04,29.64,0.48,5.15
30.32,18.41,2.29,5.06
38.21,10.48,9.49,8.4
45.17,16.87,0.15,5.44
54.52,29.04,1.25,7.08
21.97,33.08,9.7,10.0
59.97,21.47,8.07,9.88
51.4,9.72,7.15,8.17
24.09,16.83,9.56,9.12
63.68,16.57,1.77,6.17
66.04,29.08,4.63,9.7
23.05,9.65,1.75,4.01
33.84,17.97,7.41,7.94
60.31,20.46,8.5,9.85
57.41,28.73,8.62,10.0
29.23,18.44,4.29,5.97
30.47,11.74,7.91,8.29
38.52,6.15,9.56,8.66
44.23,12.79,6.19,8.31
50.91,42.11,8.53,10.0
38.45,20.76,7.76,8.59
43.13,29.25,3.19,7.4
57.37,27.05,9.13,10.0
21.83,17.43,8.44,7.32
32.62,42.96,2.41,7.24
55.67,47.24,0.75,6.76
64.76,14.56,5.09,8.76
45.58,41.33,2.02,7.67
46.61,39.01,4.92,8.51
25.36,42.72,8.76,10.0
42.37,23.4,0.71,5.22
46.63,35.88,1.44,6.58
32.12,13.55,1.72,5.04
33.46,48.57,8.38,10.0
38.86,37.52,0.87,6.52
21.0,8.44,3.11,5.08
36.1,44.51,0.39,6.32
30.57,48.16,7.72,10.0
36.37,20.01,6.41,8.12
25.99,29.25,1.84,6.31
64.53,49.64,2.3,8.79
49.68,25.29,1.18,6.4
53.96,34.96,5.13,8.65
59.46,25.36,0.98,6.69
44.92,8.4,1.67,4.89
24.35,27.93,4.97,7.07
46.86,42.2,7.35,10.0
49.34,6.87,2.82,5.71
57.27,24.84,2.23,7.09
41.58,42.0,7.55,10.0
26.38,20.9,2.53,5.62
34.19,48.98,6.91,9.69
38.15,22.24,5.16,6.92
52.3,40.24,5.06,9.31
48.54,16.05,4.82,7.87
37.8,19.96,0.79,5.17
69.33,37.45,9.66,10.0
50.29,7.57,4.67,7.48
31.86,9.22,4.2,6.43
25.09,17.0,0.94,4.24
27.64,16.29,4.13,6.64
32.3,7.97,7.45,7.2
28.03,48.73,2.08,7.35
29.33,18.21,6.71,8.01
34.25,37.51,7.48,9.84
28.67,22.69,6.23,8.26
64.84,49.59,9.76,10.0
24.01,11.32,4.38,5.3
46.23,21.84,3.07,6.44
40.52,24.43,0.35,5.34
69.12,37.28,2.47,8.85
25.6,27.32,7.05,8.47
39.89,38.76,3.06,7.75
68.47,42.86,3.08,8.91
63.28,18.01,7.09,9.19
60.85,41.18,5.78,9.75
32.9,27.12,4.31,7.4
28.54,8.44,0.6,4.1
53.43,18.37,1.35,5.84
66.47,41.13,4.54,9.38
47.84,22.5,5.89,8.25
48.58,9.2,3.97,6.25
34.0,33.73,2.37,5.87
58.47,43.26,8.42,10.0
29.35,10.98,7.19,7.9
36.18,29.44,9.03,10.0
41.27,14.35,9.17,9.19
45.38,20.2,6.55,8.0
32.12,23.63,3.94,6.45
25.74,5.23,4.76,4.78
50.53,21.01,0.65,4.92
34.43,18.92,1.16,5.49
49.06,35.08,2.61,7.18
27.72,44.6,1.67,7.19
44.06,9.74,1.16,5.06
46.63,26.73,4.51,7.81
22.59,17.45,5.4,6.0
36.83,49.44,8.19,10.0
26.72,40.12,5.12,8.45
23.17,10.3,4.74,6.29
69.5,21.6,3.22,6.75
36.12,10.0,8.04,7.94
60.49,40.42,6.7,10.0
32.73,26.92,1.79,6.04
54.08,34.13,5.31,7.96
58.01,30.87,1.59,5.57
49.78,13.22,7.07,7.81
43.58,5.58,3.1,5.5
40.59,44.16,5.25,9.38
37.44,9.16,0.16,4.25
66.48,40.62,8.59,10.0
61.53,13.62,3.96,7.37
68.25,43.37,0.18,7.05
26.21,31.72,0.72,5.74
56.54,22.96,8.06,9.32
66.92,34.63,7.85,10.0
29.06,17.32,1.33,4.68
23.32,23.84,7.17,7.47
57.06,42.07,5.45,10.0
48.72,5.4,7.58,7.95
62.09,15.53,2.69,6.41
26.99,38.36,0.71,5.95
59.76,37.38,1.46,7.28
30.08,12.36,9.34,8.53
28.18,49.23,2.33,7.14
28.21,35.44,9.54,9.34
60.73,21.71,4.78,8.5
53.26,20.79,4.48,7.05
46.15,28.52,9.69,10.0
37.94,6.63,2.08,4.43
63.86,37.15,7.11,9.72
39.62,8.08,1.24,5.05
60.83,34.39,8.69,10.0
41.96,41.08,0.42,6.41
38.85,45.74,7.71,10.0
43.13,11.64,2.5,6.26
35.07,38.55,5.98,8.54
57.38,49.25,8.54,10.0
45.14,8.05,7.37,7.92
31.61,6.27,9.58,8.88
64.98,14.56,8.53,9.38
39.19,14.23,4.16,5.93
47.18,19.38,3.75,6.96
65.32,46.56,7.62,10.0
51.21,35.74,2.91,8.08
25.84,5.48,3.65,5.18
66.99,27.29,8.45,10.0
51.39,44.41,1.34,7.58
36.75,29.05,0.22,5.15
26.96,13.74,9.53,8.88
59.7,47.93,2.16,7.24
51.0,18.83,1.47,5.62
46.67,20.75,5.88,7.76
64.69,21.03,8.94,10.0
59.43,22.76,3.95,8.14
27.58,36.89,6.88,8.38
35.59,19.15,6.28,8.14
32.42,25.93,4.12,7.35
57.2,16.86,0.88,5.18
21.68,27.86,9.28,9.41
48.49,47.63,9.78,10.0
58.12,18.03,5.46,8.61
63.84,41.74,1.21,8.12
37.1,14.85,7.09,7.74
61.06,11.51,0.66,5.22
25.53,9.1,5.92,6.63
62.32,49.09,4.88,10.0
26.37,30.67,0.52,4.79
39.86,28.14,1.54,6.18
59.86,5.32,1.38,5.6
27.5,26.79,7.1,8.19
31.46,34.82,7.63,10.0
56.11,23.45,0.99,6.48
56.0,10.8,3.5,6.77
52.06,17.05,1.29,5.6
54.7,37.14,9.17,10.0
47.14,26.39,0.59,5.09
32.59,26.57,4.03,6.72
37.28,6.73,2.41,4.26
29.08,28.82,9.36,9.02
65.42,24.11,8.77,10.0
49.17,44.58,3.58,8.79
40.04,22.14,4.35,7.26
43.1,32.42,0.91,6.34
67.36,47.12,3.98,9.8
27.67,30.48,5.53,7.94
49.31,6.34,3.71,5.75
45.29,9.57,0.85,3.95
50.57,48.51,2.13,8.03
20.91,29.84,2.68,6.24
63.61,13.52,7.7,8.99
66.61,30.55,2.03,7.42
48.26,48.08,6.91,10.0
54.83,7.02,3.14,6.35
66.12,28.72,1.11,6.57
55.36,11.13,5.02,8.13
27.63,25.1,8.25,8.67
48.81,34.46,3.04,7.34
50.34,25.66,5.88,8.4
41.21,48.33,8.27,10.0
56.82,31.31,2.67,7.33
66.72,48.36,0.92,7.72
66.28,19.15,2.25,6.9
42.54,5.95,8.58,8.31
25.66,11.96,3.28,5.23
69.24,8.22,1.77,6.0
61.94,38.25,5.04,9.21
26.23,13.54,6.18,6.38
66.04,39.07,4.62,9.44
63.49,29.19,3.24,7.73
45.94,14.76,4.92,7.77
49.56,32.6,9.03,10.0
39.95,5.52,6.47,7.41
22.74,20.06,4.31,6.62
36.76,40.31,8.15,10.0
60.14,38.71,0.02,6.7
20.23,40.58,1.96,6.71
36.67,31.44,5.38,7.86
39.91,30.8,6.56,8.89
46.87,23.33,4.93,7.35
65.99,47.68,6.51,10.0
37.32,47.73,6.11,9.21
37.35,5.39,5.65,7.31
56.88,48.3,1.45,8.59
42.61,44.17,4.42,8.49
31.23,32.27,4.4,7.19
42.62,19.6,2.29,5.93
27.04,23.93,8.95,9.18
28.82,43.17,8.79,9.89
44.92,11.65,3.02,6.18
40.95,32.94,2.18,7.06
65.74,15.39,3.92,7.89
38.12,22.02,0.35,5.2
49.03,5.22,8.97,8.69
51.61,48.62,1.91,8.3
20.65,9.89,2.24,5.25
53.18,39.36,4.49,8.62
28.9,30.27,5.78,7.53
68.05,42.26,4.39,9.22
27.43,28.21,5.03,7.42
40.73,49.3,8.74,10.0
24.27,32.32,8.16,9.01
69.84,32.74,0.11,6.69
45.11,46.44,4.83,8.8
49.77,16.61,7.37,9.0
23.35,21.33,6.97,7.78
57.5,34.92,3.57,8.73
30.5,11.35,6.84,7.03
64.9,41.43,6.33,10.0
30.26,31.63,2.6,6.25
29.53,38.97,2.1,6.66
21.83,49.56,0.72,5.83
43.6,48.96,4.36,8.75
48.24,25.14,5.18,8.48
23.29,17.65,0.39,3.91
58.78,33.54,4.02,7.9
42.66,37.01,0.91,6.24
46.22,18.26,0.75,5.5
42.04,17.66,2.87,6.96
40.04,14.67,5.2,6.67
47.98,45.92,6.11,9.16
27.76,9.57,5.64,7.08
29.1,16.09,9.64,9.09
63.09,33.1,2.26,7.93
67.31,26.04,4.46,8.6
38.67,10.43,5.01,6.48
33.54,18.03,2.07,5.76
